MinE_MO; E_MinE_MO; Last_MO; E_Last_MO; Frag_MO; E_Frag_MO; Frag; Localisation
0; -14.730920; 0; -14.472180; 0; -14.441894; N2; 8N 9N
1; -14.695790; 1; -14.470750; 1; -14.440486; N2; 8N 9N
2; -10.475160; 2; -10.521690; 0; -10.521741; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
3; -10.412900; 4; -10.446670; 1; -10.446997; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
4; -10.412820; 3; -10.446720; 2; -10.446928; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
5; -10.394610; 6; -10.433430; 3; -10.433769; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
6; -10.386970; 5; -10.433500; 4; -10.433741; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
7; -10.386930; 7; -10.406420; 5; -10.406684; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
8; -1.381240; 8; -1.153370; 2; -1.123113; N2; 8N 9N
9; -1.111400; 9; -1.121630; 6; -1.121774; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
10; -1.023730; 11; -0.974390; 7; -1.006976; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
11; -0.960790; 10; -1.006870; 8; -0.974515; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
12; -0.896640; 13; -0.816610; 9; -0.847607; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
13; -0.824870; 12; -0.847480; 10; -0.816774; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
15; -0.732790; 18; -0.619270; 11; -0.748681; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
14; -0.771540; 14; -0.748550; 12; -0.713119; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
16; -0.723770; 15; -0.712960; 13; -0.674879; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
17; -0.707130; 16; -0.674780; 14; -0.658624; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
18; -0.688690; 21; -0.581920; 3; -0.551624; N2; 8N 9N
19; -0.649590; 17; -0.658430; 15; -0.619345; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
20; -0.635070; 19; -0.602110; 16; -0.602197; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
21; -0.629890; 22; -0.491840; 4; -0.461595; N2; 8N 9N
23; -0.560770; 26; -0.455710; 5; -0.461584; N2; 8N 9N
22; -0.574120; 23; -0.491840; 6; -0.425409; N2; 8N 9N
24; -0.550210; 20; -0.589390; 17; -0.589515; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
26; -0.458370; 25; -0.486060; 18; -0.488601; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
25; -0.469250; 24; -0.488550; 19; -0.486108; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
27; -0.295940; 29; -0.217950; 20; -0.349774; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
28; -0.281330; 33; -0.053230; 7; -0.022965; N2; 8N 9N
29; -0.202550; 28; -0.243180; 21; -0.243236; Ph+; 10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
30; -0.175790; 34; -0.053230; 8; -0.022962; N2; 8N 9N
31; -0.099530; 27; -0.349610; 22; -0.218151; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
33; -0.032590; 32; -0.054490; 23; -0.089588; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
34; -0.025990; 30; -0.089620; 24; -0.073242; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
35; -0.005730; 35; -0.034720; 25; -0.054358; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
36; 0.018310; 36; -0.012020; 26; -0.034471; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
32; -0.040730; 31; -0.072970; 27; -0.012115; Ph+; 10H 12H 11H 7H 0C 1C 2C 3C 4C 5C
37; 0.018890; 37; -0.005840; 28; -0.006079; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
38; 0.067590; 39; 0.053270; 29; 0.048840; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
39; 0.105550; 38; 0.049200; 30; 0.052907; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
40; 0.124270; 40; 0.106040; 31; 0.105619; Ph+; 10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
