;4-NO2PhN2+;;PhN2+;;4-MeOPhN2+;
№ MO;E, Ha;𝚫E, Ha;E, Ha;𝚫E, Ha;E, Ha;𝚫E, Ha
0;-14,74959;-0,307696;-14,73092;-0,289026;-14,70375;-0,261856
1;-14,71653;-0,276044;-14,69579;-0,255304;-14,66349;-0,223004
2; -1,40096;-0,277847; -1,38124;-0,258127; -1,35080;-0,227687
3; -0,66482;-0,113196; -0,68869;-0,137066; -0,70694;-0,155316
4; -0,62348;-0,161885; -0,62989;-0,168295; -0,59735;-0,135755
5; -0,64798;-0,186396; -0,56077;-0,099186; -0,58095;-0,119366
6; -0,59388;-0,168471; -0,57412;-0,148711; -0,54593;-0,120521
∑dE N2, Ha;;-1,491535;;-1,355715;;-1,243505
∑dE N2, %;;-123,31;;-102,82;;-105,62
∑dE Xph+, Ha;;0,281931;;0,037177;;0,066199
∑dE Xph+, %;;23,31;;2,82;;5,62
